request_id,arrival_time_ps,settlement_time_ps,success,latency_ps,attempt_count,last_candidate_id,last_failure_cause
r0,0,530000010,1,530000010,2,r0:path:2:swap_tree_1,
r1,0,800000000,0,800000000,2,r1:path:2:swap_tree_4,physical_failure
r10,200000000,780000010,1,580000010,2,r10:path:0:swap_tree_1,
r11,200000000,530000010,1,330000010,1,r11:path:0:swap_tree_1,
r12,200000000,1000000000,0,800000000,2,r12:path:2:swap_tree_2,physical_failure
r13,200000000,680000010,1,480000010,2,r13:path:1:swap_tree_2,
r14,200000000,380000010,1,180000010,1,r14:path:0:swap_tree_2,
r15,200000000,380000010,1,180000010,1,r15:path:0:swap_tree_4,
r16,200000000,680000010,1,480000010,2,r16:path:0:swap_tree_3,
r17,200000000,380000010,1,180000010,1,r17:path:0:swap_tree_0,
r18,200000000,730000010,1,530000010,2,r18:path:0:swap_tree_4,
r19,200000000,780000010,1,580000010,3,r19:path:0:swap_tree_2,
r2,0,800000000,0,800000000,2,r2:path:2:swap_tree_3,physical_failure
r20,400000000,1200000000,0,800000000,1,r20:path:0:swap_tree_3,physical_failure
r21,400000000,1200000000,0,800000000,3,r21:path:1:swap_tree_1,physical_failure
r22,400000000,880000010,1,480000010,2,r22:path:1:swap_tree_4,
r23,400000000,730000010,1,330000010,1,r23:path:1:swap_tree_1,
r24,400000000,1200000000,0,800000000,4,r24:path:0:swap_tree_1,physical_failure
r25,400000000,1200000000,0,800000000,4,r25:path:0:swap_tree_4,physical_failure
r26,400000000,1200000000,0,800000000,3,r26:path:0:swap_tree_2,physical_failure
r27,400000000,780000010,1,380000010,1,r27:path:0:swap_tree_4,
r28,400000000,1165000000,1,765000000,4,r28:path:1:swap_tree_4,
r29,400000000,1130000010,1,730000010,3,r29:path:1:swap_tree_2,
r3,0,230000010,1,230000010,1,r3:path:0:swap_tree_2,
r30,600000000,780000010,1,180000010,1,r30:path:1:swap_tree_2,
r31,600000000,1365000000,1,765000000,4,r31:path:1:swap_tree_4,
r32,600000000,925000010,1,325000010,1,r32:path:0:swap_tree_0,
r33,600000000,1265000000,1,665000000,3,r33:path:0:swap_tree_1,
r34,600000000,880000010,1,280000010,1,r34:path:0:swap_tree_4,
r35,600000000,1365000000,1,765000000,3,r35:path:2:swap_tree_1,
r36,600000000,1400000000,0,800000000,2,r36:path:1:swap_tree_1,physical_failure
r37,600000000,1400000000,0,800000000,3,r37:path:1:swap_tree_0,physical_failure
r38,600000000,980000010,1,380000010,1,r38:path:0:swap_tree_2,
r39,600000000,1400000000,0,800000000,4,r39:path:0:swap_tree_4,physical_failure
r4,0,800000000,0,800000000,3,r4:path:0:swap_tree_4,physical_failure
r5,0,800000000,0,800000000,2,r5:path:0:swap_tree_0,physical_failure
r6,0,165000000,1,165000000,1,r6:path:0:swap_tree_4,
r7,0,800000000,0,800000000,4,r7:path:0:swap_tree_2,physical_failure
r8,0,580000010,1,580000010,3,r8:path:2:swap_tree_1,
r9,0,380000010,1,380000010,2,r9:path:1:swap_tree_2,
