arrival_batch_size,method,metric,seed,value
5,Q-PASS,p95_completion_latency_ps,46009,15.3
5,Q-PASS,p95_completion_latency_ps,46010,15.6000002
5,Q-PASS,p95_completion_latency_ps,46011,15.6000002
5,Q-PASS,p95_completion_latency_ps,46012,15.3
5,Q-PASS,p95_completion_latency_ps,46013,15.6000002
5,Q-PASS,p95_completion_latency_ps,46014,15.6000002
5,Q-PASS,p95_completion_latency_ps,46015,15.6000002
5,Q-PASS,p95_completion_latency_ps,46016,15.6000002
5,Q-PASS,p95_completion_latency_ps,46017,15.6000002
5,Q-PASS,p95_completion_latency_ps,46018,15.6000002
5,Q-PASS,p95_completion_latency_ps,46019,15.6000002
10,Q-PASS,p95_completion_latency_ps,46000,15.6000002
10,Q-PASS,p95_completion_latency_ps,46001,15.6000002
10,Q-PASS,p95_completion_latency_ps,46002,15.6000002
10,Q-PASS,p95_completion_latency_ps,46003,15.6000002
10,Q-PASS,p95_completion_latency_ps,46004,15.6000002
10,Q-PASS,p95_completion_latency_ps,46005,15.6000002
10,Q-PASS,p95_completion_latency_ps,46006,15.6000002
10,Q-PASS,p95_completion_latency_ps,46007,15.6000002
10,Q-PASS,p95_completion_latency_ps,46008,15.6000002
10,Q-PASS,p95_completion_latency_ps,46009,15.6000002
10,Q-PASS,p95_completion_latency_ps,46010,15.6000002
10,Q-PASS,p95_completion_latency_ps,46011,15.6000002
10,Q-PASS,p95_completion_latency_ps,46012,15.6000002
10,Q-PASS,p95_completion_latency_ps,46013,15.6000002
10,Q-PASS,p95_completion_latency_ps,46014,15.6000002
10,Q-PASS,p95_completion_latency_ps,46015,15.6000002
10,Q-PASS,p95_completion_latency_ps,46016,15.6000002
10,Q-PASS,p95_completion_latency_ps,46017,15.6000002
10,Q-PASS,p95_completion_latency_ps,46018,15.6000002
10,Q-PASS,p95_completion_latency_ps,46019,15.3
15,Q-PASS,p95_completion_latency_ps,46000,15.6000002
15,Q-PASS,p95_completion_latency_ps,46001,15.6000002
15,Q-PASS,p95_completion_latency_ps,46002,15.6000002
15,Q-PASS,p95_completion_latency_ps,46003,15.6000002
15,Q-PASS,p95_completion_latency_ps,46004,15.6000002
15,Q-PASS,p95_completion_latency_ps,46005,15.6000002
15,Q-PASS,p95_completion_latency_ps,46006,15.6000002
15,Q-PASS,p95_completion_latency_ps,46007,15.6000002
15,Q-PASS,p95_completion_latency_ps,46008,15.6000002
15,Q-PASS,p95_completion_latency_ps,46009,15.6000002
15,Q-PASS,p95_completion_latency_ps,46010,15.6000002
15,Q-PASS,p95_completion_latency_ps,46011,15.6000002
15,Q-PASS,p95_completion_latency_ps,46012,15.6000002
15,Q-PASS,p95_completion_latency_ps,46013,15.6000002
15,Q-PASS,p95_completion_latency_ps,46014,15.6000002
15,Q-PASS,p95_completion_latency_ps,46015,15.6000002
15,Q-PASS,p95_completion_latency_ps,46016,15.6000002
15,Q-PASS,p95_completion_latency_ps,46017,15.6000002
15,Q-PASS,p95_completion_latency_ps,46018,15.6000002
15,Q-PASS,p95_completion_latency_ps,46019,15.3
5,Greedy,p95_completion_latency_ps,46000,15.6000002
5,Greedy,p95_completion_latency_ps,46001,15.6000002
5,Greedy,p95_completion_latency_ps,46002,15.6000002
5,Greedy,p95_completion_latency_ps,46003,15.6000002
5,Greedy,p95_completion_latency_ps,46004,15.6000002
5,Greedy,p95_completion_latency_ps,46005,15.6000002
5,Greedy,p95_completion_latency_ps,46006,14.6000002
5,Greedy,p95_completion_latency_ps,46007,15.6000002
5,Greedy,p95_completion_latency_ps,46008,15.6000002
5,Greedy,p95_completion_latency_ps,46009,15.6000002
5,Greedy,p95_completion_latency_ps,46010,15.6000002
5,Greedy,p95_completion_latency_ps,46011,15.6000002
5,Greedy,p95_completion_latency_ps,46012,15.6000002
5,Greedy,p95_completion_latency_ps,46013,15.6000002
5,Greedy,p95_completion_latency_ps,46014,15.6000002
5,Greedy,p95_completion_latency_ps,46015,15.6000002
5,Greedy,p95_completion_latency_ps,46016,15.6000002
5,Greedy,p95_completion_latency_ps,46017,15.6000002
5,Greedy,p95_completion_latency_ps,46018,15.6000002
5,Greedy,p95_completion_latency_ps,46019,15.6000002
10,Greedy,p95_completion_latency_ps,46000,15.6000002
10,Greedy,p95_completion_latency_ps,46001,15.6000002
10,Greedy,p95_completion_latency_ps,46002,15.6000002
10,Greedy,p95_completion_latency_ps,46003,15.6000002
10,Greedy,p95_completion_latency_ps,46004,15.6000002
10,Greedy,p95_completion_latency_ps,46005,15.6000002
10,Greedy,p95_completion_latency_ps,46006,15.6000002
10,Greedy,p95_completion_latency_ps,46007,15.6000002
10,Greedy,p95_completion_latency_ps,46008,15.6000002
10,Greedy,p95_completion_latency_ps,46009,15.6000002
10,Greedy,p95_completion_latency_ps,46010,15.6000002
10,Greedy,p95_completion_latency_ps,46011,15.6000002
10,Greedy,p95_completion_latency_ps,46012,15.6000002
10,Greedy,p95_completion_latency_ps,46013,15.6000002
10,Greedy,p95_completion_latency_ps,46014,15.6000002
10,Greedy,p95_completion_latency_ps,46015,15.6000002
10,Greedy,p95_completion_latency_ps,46016,15.6000002
10,Greedy,p95_completion_latency_ps,46017,15.6000002
10,Greedy,p95_completion_latency_ps,46018,15.6000002
10,Greedy,p95_completion_latency_ps,46019,15.6000002
15,Greedy,p95_completion_latency_ps,46000,15.6000002
15,Greedy,p95_completion_latency_ps,46001,15.6000002
15,Greedy,p95_completion_latency_ps,46002,15.6000002
15,Greedy,p95_completion_latency_ps,46003,15.6000002
15,Greedy,p95_completion_latency_ps,46004,15.6000002
15,Greedy,p95_completion_latency_ps,46005,15.6000002
15,Greedy,p95_completion_latency_ps,46006,15.6000002
15,Greedy,p95_completion_latency_ps,46007,15.6000002
15,Greedy,p95_completion_latency_ps,46008,15.6000002
15,Greedy,p95_completion_latency_ps,46009,15.6000002
15,Greedy,p95_completion_latency_ps,46010,15.6000002
15,Greedy,p95_completion_latency_ps,46011,15.6000002
15,Greedy,p95_completion_latency_ps,46012,15.6000002
15,Greedy,p95_completion_latency_ps,46013,15.6000002
15,Greedy,p95_completion_latency_ps,46014,15.6000002
15,Greedy,p95_completion_latency_ps,46015,15.6000002
15,Greedy,p95_completion_latency_ps,46016,15.6000002
15,Greedy,p95_completion_latency_ps,46017,15.6000002
15,Greedy,p95_completion_latency_ps,46018,15.6000002
15,Greedy,p95_completion_latency_ps,46019,15.6000002
