request_id,arrival_time_ps,settlement_time_ps,success,latency_ps,attempt_count,last_candidate_id,last_failure_cause
r0,0,575000010,1,575000010,3,r0:path:2:swap_tree_0,
r1,0,800000000,0,800000000,3,r1:path:3:swap_tree_3,physical_failure
r10,200000000,780000010,1,580000010,3,r10:path:0:swap_tree_1,
r11,200000000,980000010,1,780000010,4,r11:path:0:swap_tree_2,
r12,200000000,380000010,1,180000010,1,r12:path:3:swap_tree_0,
r13,200000000,680000010,1,480000010,2,r13:path:0:swap_tree_4,
r14,200000000,630000010,1,430000010,2,r14:path:1:swap_tree_1,
r15,200000000,1000000000,0,800000000,3,r15:path:0:swap_tree_1,physical_failure
r16,200000000,780000010,1,580000010,3,r16:path:0:swap_tree_3,
r17,200000000,380000010,1,180000010,1,r17:path:1:swap_tree_2,
r18,200000000,480000010,1,280000010,1,r18:path:0:swap_tree_1,
r19,200000000,530000010,1,330000010,1,r19:path:0:swap_tree_4,
r2,0,180000010,1,180000010,1,r2:path:0:swap_tree_3,
r20,400000000,1200000000,0,800000000,3,r20:path:0:swap_tree_4,physical_failure
r21,400000000,680000010,1,280000010,1,r21:path:0:swap_tree_2,
r22,400000000,1030000010,1,630000010,3,r22:path:0:swap_tree_0,
r23,400000000,880000010,1,480000010,1,r23:path:0:swap_tree_3,
r24,400000000,1200000000,0,800000000,4,r24:path:1:swap_tree_1,physical_failure
r25,400000000,1200000000,0,800000000,3,r25:path:3:swap_tree_1,physical_failure
r26,400000000,730000010,1,330000010,1,r26:path:1:swap_tree_4,
r27,400000000,730000010,1,330000010,1,r27:path:0:swap_tree_4,
r28,400000000,730000010,1,330000010,1,r28:path:0:swap_tree_0,
r29,400000000,930000010,1,530000010,2,r29:path:0:swap_tree_0,
r3,0,180000010,1,180000010,1,r3:path:0:swap_tree_1,
r30,600000000,830000010,1,230000010,1,r30:path:3:swap_tree_3,
r31,600000000,1115000000,1,515000000,2,r31:path:0:swap_tree_1,
r32,600000000,1400000000,0,800000000,2,r32:path:0:swap_tree_2,physical_failure
r33,600000000,1365000000,1,765000000,3,r33:path:0:swap_tree_1,
r34,600000000,880000010,1,280000010,1,r34:path:1:swap_tree_1,
r35,600000000,780000010,1,180000010,1,r35:path:2:swap_tree_1,
r36,600000000,880000010,1,280000010,1,r36:path:0:swap_tree_2,
r37,600000000,980000010,1,380000010,1,r37:path:0:swap_tree_3,
r38,600000000,780000010,1,180000010,1,r38:path:1:swap_tree_0,
r39,600000000,1400000000,0,800000000,4,r39:path:1:swap_tree_4,physical_failure
r4,0,780000010,1,780000010,4,r4:path:2:swap_tree_0,
r5,0,530000010,1,530000010,2,r5:path:1:swap_tree_0,
r6,0,380000010,1,380000010,2,r6:path:0:swap_tree_3,
r7,0,800000000,0,800000000,2,r7:path:0:swap_tree_4,physical_failure
r8,0,180000010,1,180000010,1,r8:path:1:swap_tree_4,
r9,0,380000010,1,380000010,2,r9:path:3:swap_tree_4,
