request_id,arrival_time_ps,settlement_time_ps,success,latency_ps,attempt_count,last_candidate_id,last_failure_cause
r0,0,165000000,1,165000000,1,r0:path:0:swap_tree_3,
r1,0,165000000,1,165000000,1,r1:path:0:swap_tree_2,
r10,200000000,865000000,1,665000000,3,r10:path:1:swap_tree_0,
r11,200000000,530000010,1,330000010,1,r11:path:0:swap_tree_1,
r12,200000000,780000010,1,580000010,3,r12:path:0:swap_tree_1,
r13,200000000,1000000000,0,800000000,3,r13:path:0:swap_tree_2,physical_failure
r14,200000000,780000010,1,580000010,3,r14:path:0:swap_tree_0,
r15,200000000,930000010,1,730000010,3,r15:path:1:swap_tree_4,
r16,200000000,1000000000,0,800000000,4,r16:path:1:swap_tree_4,physical_failure
r17,200000000,1000000000,0,800000000,4,r17:path:0:swap_tree_4,physical_failure
r18,200000000,780000010,1,580000010,3,r18:path:0:swap_tree_4,
r19,200000000,1000000000,0,800000000,4,r19:path:2:swap_tree_4,physical_failure
r2,0,800000000,0,800000000,4,r2:path:0:swap_tree_3,physical_failure
r20,400000000,580000010,1,180000010,1,r20:path:2:swap_tree_0,
r21,400000000,580000010,1,180000010,1,r21:path:1:swap_tree_2,
r22,400000000,1200000000,0,800000000,4,r22:path:2:swap_tree_1,physical_failure
r23,400000000,580000010,1,180000010,1,r23:path:2:swap_tree_0,
r24,400000000,1165000000,1,765000000,4,r24:path:1:swap_tree_3,
r25,400000000,1165000000,1,765000000,4,r25:path:1:swap_tree_3,
r26,400000000,580000010,1,180000010,1,r26:path:0:swap_tree_0,
r27,400000000,630000010,1,230000010,1,r27:path:1:swap_tree_1,
r28,400000000,865000000,1,465000000,2,r28:path:0:swap_tree_2,
r29,400000000,1200000000,0,800000000,4,r29:path:1:swap_tree_4,physical_failure
r3,0,230000010,1,230000010,1,r3:path:1:swap_tree_3,
r30,600000000,1365000000,1,765000000,4,r30:path:3:swap_tree_4,
r31,600000000,965000000,1,365000000,2,r31:path:0:swap_tree_3,
r32,600000000,780000010,1,180000010,1,r32:path:0:swap_tree_1,
r33,600000000,1065000000,1,465000000,2,r33:path:0:swap_tree_4,
r34,600000000,865000000,1,265000000,1,r34:path:0:swap_tree_1,
r35,600000000,1265000000,1,665000000,3,r35:path:1:swap_tree_2,
r36,600000000,1400000000,0,800000000,4,r36:path:0:swap_tree_3,physical_failure
r37,600000000,965000000,1,365000000,2,r37:path:1:swap_tree_0,
r38,600000000,1365000000,1,765000000,4,r38:path:2:swap_tree_4,
r39,600000000,1165000000,1,565000000,3,r39:path:0:swap_tree_1,
r4,0,165000000,1,165000000,1,r4:path:0:swap_tree_2,
r5,0,780000010,1,780000010,4,r5:path:0:swap_tree_4,
r6,0,800000000,0,800000000,3,r6:path:2:swap_tree_0,physical_failure
r7,0,580000010,1,580000010,3,r7:path:0:swap_tree_2,
r8,0,580000010,1,580000010,3,r8:path:0:swap_tree_4,
r9,0,800000000,0,800000000,4,r9:path:0:swap_tree_0,physical_failure
