request_id,arrival_time_ps,settlement_time_ps,success,latency_ps,attempt_count,last_candidate_id,last_failure_cause
r0,0,800000000,0,800000000,2,r0:path:2:swap_tree_4,physical_failure
r1,0,800000000,0,800000000,1,r1:path:0:swap_tree_4,physical_failure
r10,200000000,1000000000,0,800000000,4,r10:path:3:swap_tree_2,physical_failure
r11,200000000,680000010,1,480000010,2,r11:path:2:swap_tree_1,
r12,200000000,1000000000,0,800000000,4,r12:path:2:swap_tree_4,physical_failure
r13,200000000,580000010,1,380000010,2,r13:path:1:swap_tree_1,
r14,200000000,1000000000,0,800000000,4,r14:path:0:swap_tree_4,physical_failure
r15,200000000,480000010,1,280000010,1,r15:path:2:swap_tree_3,
r16,200000000,430000010,1,230000010,1,r16:path:1:swap_tree_4,
r17,200000000,580000010,1,380000010,2,r17:path:1:swap_tree_2,
r18,200000000,580000010,1,380000010,2,r18:path:3:swap_tree_1,
r19,200000000,1000000000,0,800000000,4,r19:path:3:swap_tree_3,physical_failure
r2,0,800000000,0,800000000,4,r2:path:0:swap_tree_3,physical_failure
r20,400000000,1200000000,0,800000000,4,r20:path:2:swap_tree_4,physical_failure
r21,400000000,1165000000,1,765000000,3,r21:path:1:swap_tree_2,
r22,400000000,1200000000,0,800000000,1,r22:path:1:swap_tree_2,physical_failure
r23,400000000,1200000000,0,800000000,4,r23:path:0:swap_tree_0,physical_failure
r24,400000000,1030000010,1,630000010,3,r24:path:3:swap_tree_3,
r25,400000000,1030000010,1,630000010,3,r25:path:1:swap_tree_3,
r26,400000000,1200000000,0,800000000,1,r26:path:2:swap_tree_4,physical_failure
r27,400000000,1200000000,0,800000000,0,,
r28,400000000,580000010,1,180000010,1,r28:path:2:swap_tree_4,
r29,400000000,965000000,1,565000000,3,r29:path:0:swap_tree_3,
r3,0,360000000,1,360000000,2,r3:path:0:swap_tree_0,
r30,600000000,1400000000,0,800000000,4,r30:path:3:swap_tree_4,physical_failure
r31,600000000,1165000000,1,565000000,3,r31:path:1:swap_tree_3,
r32,600000000,830000010,1,230000010,1,r32:path:0:swap_tree_3,
r33,600000000,1030000010,1,430000010,2,r33:path:0:swap_tree_1,
r34,600000000,1400000000,0,800000000,2,r34:path:2:swap_tree_4,physical_failure
r35,600000000,1165000000,1,565000000,3,r35:path:1:swap_tree_0,
r36,600000000,1230000010,1,630000010,3,r36:path:2:swap_tree_4,
r37,600000000,830000010,1,230000010,1,r37:path:1:swap_tree_4,
r38,600000000,1400000000,0,800000000,4,r38:path:3:swap_tree_4,physical_failure
r39,600000000,1080000010,1,480000010,2,r39:path:0:swap_tree_3,
r4,0,165000000,1,165000000,1,r4:path:0:swap_tree_0,
r5,0,800000000,0,800000000,0,,
r6,0,800000000,0,800000000,0,,
r7,0,580000010,1,580000010,3,r7:path:3:swap_tree_2,
r8,0,165000000,1,165000000,1,r8:path:1:swap_tree_4,
r9,0,765000000,1,765000000,4,r9:path:2:swap_tree_4,
